Canonical SMILES,Molecule IDs
CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,"CHEMBL54400, CHEMBL54400, CHEMBL54400, CHEMBL54400, CHEMBL54400"
CN(C)C/C=C/C(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,"CHEMBL4521381, CHEMBL4521381, CHEMBL4521381, CHEMBL4521381, CHEMBL4521381, CHEMBL4521381"
CCc1cc(Nc2ncc(Br)c(Nc3ccc4c(c3P(C)(C)=O)OCCO4)n2)c(OC)cc1N1CCC(N2CC(COC)C2)CC1,"CHEMBL5197545, CHEMBL5197545"
COc1cc(N2CCC(N3CC(C)(CO)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,"CHEMBL5393923, CHEMBL5393923"
COc1cc(N2CCC(N3CC[C@H](N(C)C)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3c(c2P(C)(C)=O)OCCO3)n1,"CHEMBL5193149, CHEMBL5193149"
COc1cc(N2CCC(N3CC(C(C)(C)O)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,"CHEMBL5399653, CHEMBL5399653"
COc1cc(N2CCC(N(C)CCN(C)C)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,"CHEMBL5436031, CHEMBL5436031"
Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,"CHEMBL93032, CHEMBL93032, CHEMBL93032, CHEMBL93032"
CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC,"CHEMBL418967, CHEMBL418967"
COc1cc(N2CCC(N3CCCOCC3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3c(c2P(C)(C)=O)OCCO3)n1,"CHEMBL5192223, CHEMBL5192223"
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,"CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592, CHEMBL1229592"
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,"CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554, CHEMBL554"
CCc1cc(Nc2ncc(Br)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CCN(CCS(C)(=O)=O)CC2)CC1,"CHEMBL5206715, CHEMBL5206715, CHEMBL5206715, CHEMBL5206715, CHEMBL5206715, CHEMBL5206715, CHEMBL5206715"
CCC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(OCC(C)C)c23)c1,"CHEMBL5220529, CHEMBL5220529, CHEMBL5220529"
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC(=O)N1CCN(C)C[C@H]1C,"CHEMBL3623290, CHEMBL3623290, CHEMBL3623290, CHEMBL3623290, CHEMBL3623290, CHEMBL3623290, CHEMBL3623290, CHEMBL3623290, CHEMBL3623290, CHEMBL3623290"
COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NS(C)(=O)=O)n1,"CHEMBL5172794, CHEMBL5172794, CHEMBL5172794, CHEMBL5172794"
COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NS(N)(=O)=O)n1,"CHEMBL5176129, CHEMBL5176129, CHEMBL5176129, CHEMBL5176129"
COc1cc(N2CCC(N3CCN(C)CC3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,"CHEMBL5169450, CHEMBL5169450, CHEMBL5169450"
OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,"CHEMBL127041, CHEMBL127041"
COc1cc2ncnc(Nc3cccc(C(F)(F)F)c3)c2cc1OC,"CHEMBL316064, CHEMBL316064, CHEMBL316064"
CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,"CHEMBL91867, CHEMBL91867, CHEMBL91867, CHEMBL91867, CHEMBL91867, CHEMBL91867, CHEMBL91867"
COc1cc(N2CCC(N3CC(N(C)C)C3)CC2)c(C)cc1Nc1ncc(Cl)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,"CHEMBL5396086, CHEMBL5396086"
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,"CHEMBL53426, CHEMBL53426, CHEMBL53426"
CCc1cc(Nc2ncc(Br)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CCN(C)CC2)CC1,"CHEMBL5174418, CHEMBL5174418, CHEMBL5174418"
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCN/C(=N\C#N)Nc4ccncc4)cc23)c1,"CHEMBL4851176, CHEMBL4851176, CHEMBL4851176, CHEMBL4851176"
O=C(Nc1nccs1)C(c1cc(F)ccc1O)N1Cc2ccc(-c3ccc(N4CCNCC4)cc3)cc2C1=O,"CHEMBL4443062, CHEMBL4443062, CHEMBL4443062, CHEMBL4443062, CHEMBL4443062, CHEMBL4443062, CHEMBL4443062, CHEMBL4443062"
COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(C(=O)Oc2ccc(F)cc2)c(-c2cn(C)c3ccccc23)n1,"CHEMBL5285052, CHEMBL5285052, CHEMBL5285052"
O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,"CHEMBL128468, CHEMBL128468"
CCc1cc(Nc2ncc(C(F)(F)F)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CC(N(C)C)C2)CC1,"CHEMBL5425947, CHEMBL5425947, CHEMBL5425947"
OCCc1nc(-c2ccc(F)cc2)c(-c2ccnc3[nH]c(-c4ccccc4)cc23)[nH]1,"CHEMBL4061829, CHEMBL4061829, CHEMBL4061829, CHEMBL4061829, CHEMBL4061829, CHEMBL4061829"
OCCCCc1nc(-c2ccc(F)cc2)c(-c2ccnc3[nH]c(-c4ccccc4)cc23)[nH]1,"CHEMBL4089892, CHEMBL4089892, CHEMBL4089892, CHEMBL4089892, CHEMBL4089892, CHEMBL4089892"
